timestamp	generation	population_size	avg_fitness	generation_best	current_best
1740008551.0815518	173	300	5075649.4367053	5040563.535260753	5040563.535260753
1740008553.6131737	174	300	5071675.03568206	5038216.888945449	5038216.888945449
1740008556.1717365	175	300	5082826.442109465	5029893.653767144	5029893.653767144
1740008558.5795527	176	300	5087308.154042003	5023228.710936257	5023228.710936257
1740008561.00313	177	300	5057400.856894194	5019501.38162023	5019501.38162023
1740008563.4404066	178	300	5054779.843872038	5014641.3334618285	5014641.3334618285
1740008565.848761	179	300	5051573.277122118	5011082.4772141045	5011082.4772141045
1740008568.3416076	180	300	5039344.95989814	5004069.780669598	5004069.780669598
1740008570.916983	181	300	5043725.015278852	5003397.126784459	5003397.126784459
1740008573.5903902	182	300	5032421.016392907	4990505.153691068	4990505.153691068
1740008576.1933873	183	300	5037608.521973348	4979952.616893062	4979952.616893062
1740008578.7441142	184	300	5053313.845541797	4989960.35022814	4979952.616893062
1740008581.3725266	185	300	5043406.93742353	4981021.9559306055	4979952.616893062
1740008583.985368	186	300	5035148.224621758	4978881.65665398	4978881.65665398
1740008586.483134	187	300	5051109.494154201	4967205.552358469	4967205.552358469
1740008588.984617	188	300	5016306.914514106	4960895.795919666	4960895.795919666
1740008591.5479088	189	300	5028469.358833473	4950092.27887339	4950092.27887339
1740008594.2210593	190	300	5024988.298738532	4958986.150105577	4950092.27887339
1740008596.8867753	191	300	5008612.00375171	4942951.934885955	4942951.934885955
1740008599.497843	192	300	5010204.288518146	4942951.934885955	4942951.934885955
1740008602.0816522	193	300	4999005.486797403	4939490.037691451	4939490.037691451
1740008604.6111925	194	300	5027128.423922228	4934223.259497022	4934223.259497022
1740008607.245273	195	300	5001035.505485322	4928456.141418862	4928456.141418862
1740008609.8301122	196	300	4996167.401746964	4923000.569042527	4923000.569042527
1740008612.5101018	197	300	4988950.2544882875	4917532.663316516	4917532.663316516
1740008615.0637274	198	300	4971028.543044571	4924082.34566994	4917532.663316516
1740008617.6744554	199	300	4978468.4399683345	4901739.137960222	4901739.137960222
1740008620.2260225	200	300	4973625.082507712	4901633.0825070795	4901633.0825070795
1740008622.7180023	201	300	4958524.75366605	4892183.395033796	4892183.395033796
1740008625.1548078	202	300	4948837.887384122	4898712.32434806	4892183.395033796
1740008627.5999033	203	300	4944961.75613819	4894472.133815072	4892183.395033796
1740008629.974721	204	300	4953942.749978452	4889926.636110583	4889926.636110583
1740008632.4675775	205	300	4925304.320432535	4884539.527007614	4884539.527007614
1740008634.9204986	206	300	4944822.124507257	4887084.620499459	4884539.527007614
1740008637.3670151	207	300	4924876.553696391	4881694.285237309	4881694.285237309
1740008639.7925262	208	300	4919176.095752644	4876465.766352245	4876465.766352245
1740008642.2460978	209	300	4916374.4612794425	4873167.211726489	4873167.211726489
1740008644.710642	210	300	4911812.306579202	4863818.979171164	4863818.979171164
1740008647.202304	211	300	4894241.226713942	4861276.5805393765	4861276.5805393765
1740008649.6139581	212	300	4893818.253472842	4853990.489306541	4853990.489306541
1740008651.9870176	213	300	4903241.388343655	4851892.773906086	4851892.773906086
1740008654.4227607	214	300	4880290.9387748325	4844027.850853292	4844027.850853292
1740008656.8270006	215	300	4878549.78278533	4840579.7107834155	4840579.7107834155
1740008659.3252962	216	300	4879366.274801493	4828428.630816295	4828428.630816295
1740008661.796221	217	300	4884074.037305041	4833640.408278998	4828428.630816295
1740008664.8575468	218	300	4873309.815924014	4825834.938019823	4825834.938019823
1740008668.2034976	219	300	4877835.018262237	4824369.517475841	4824369.517475841
1740008671.2961714	220	300	4871119.763777601	4807700.861742729	4807700.861742729
1740008674.2465472	221	300	4855370.415828002	4792209.287592374	4792209.287592374
1740008676.965197	222	300	4847947.498366914	4792209.287592374	4792209.287592374
1740008679.5316665	223	300	4855965.721372771	4800242.535783523	4792209.287592374
1740008682.0054421	224	300	4842018.896499599	4806304.991554407	4792209.287592374
1740008684.4281049	225	300	4844556.103236118	4787773.298682832	4787773.298682832
1740008686.9710763	226	300	4848250.964768777	4787773.298682832	4787773.298682832
1740008689.5648677	227	300	4844518.521762347	4788593.819279633	4787773.298682832
1740008692.1623654	228	300	4846060.511686971	4781336.958860113	4781336.958860113
1740008694.7547176	229	300	4846970.422516506	4781336.958860113	4781336.958860113
1740008697.2596908	230	300	4815501.929046604	4780217.182452849	4780217.182452849
1740008699.7041965	231	300	4813278.606835084	4769573.242890098	4769573.242890098
1740008702.3259974	232	300	4815495.664751543	4763044.444491344	4763044.444491344
1740008704.7150495	233	300	4820028.908721718	4762375.137868956	4762375.137868956
1740008707.0831144	234	300	4798784.364770046	4760366.517021055	4760366.517021055
1740008709.5360813	235	300	4829581.800944343	4756521.233898772	4756521.233898772
1740008712.028938	236	300	4798513.894317039	4751332.189520432	4751332.189520432
1740008714.5031915	237	300	4804599.5142103145	4745954.5827660095	4745954.5827660095
1740008717.0003476	238	300	4786373.768076171	4739667.966657005	4739667.966657005
1740008719.5450125	239	300	4793430.011122943	4735262.753784618	4735262.753784618
1740008722.116497	240	300	4786824.063770622	4734393.230523469	4734393.230523469
1740008724.6629546	241	300	4774010.6113179	4725203.555534582	4725203.555534582
1740008727.4799128	242	300	4778652.608327091	4719799.264181254	4719799.264181254
1740008730.1128843	243	300	4765272.564758621	4715040.001276261	4715040.001276261
1740008732.7655473	244	300	4767887.697657487	4715563.177327994	4715040.001276261
1740008735.3713996	245	300	4775517.77755511	4699184.418924384	4699184.418924384
1740008737.9873078	246	300	4752975.846988884	4703271.549791263	4699184.418924384
1740008740.5335712	247	300	4747825.714624113	4697516.1664320445	4697516.1664320445
1740008743.1626472	248	300	4749455.140527541	4696876.299274611	4696876.299274611
1740008745.7890768	249	300	4733224.766383379	4693077.605253115	4693077.605253115
